#                        h                         b
    1.0133333333333333e-01   -1.0000000000000000e+01
    0.0000000000000000e+00   -5.0000000000000000e+00
    0.0000000000000000e+00    0.0000000000000000e+00
    9.8666666666666666e-02    5.0000000000000000e+00


    2.1792441641261517e-04   -3.5365739659506602e+01
    6.3014289083163620e-05   -3.5162651745668398e+01
    4.2009526055443886e-05   -3.4959563831830188e+01
    3.1507144541582914e-05   -3.4756475917991985e+01
    2.3630358406187188e-05   -3.4553388004153781e+01
    2.3630358406186361e-05   -3.4350300090315578e+01
    1.5753572270791457e-05   -3.4147212176477368e+01
    1.5753572270791457e-05   -3.3944124262639164e+01
    1.3127976892326216e-05   -3.3741036348800961e+01
    1.5753572270790905e-05   -3.3537948434962757e+01
    1.3127976892326216e-05   -3.3334860521124547e+01
    1.0502381513860971e-05   -3.3131772607286344e+01
    2.3630358406186361e-05   -3.2928684693448140e+01
    4.2009526055443886e-05   -3.2725596779609930e+01
    2.8881549163117673e-05   -3.2522508865771727e+01
    6.3014289083165829e-05   -3.2319420951933523e+01
    1.0239821976014268e-04   -3.2116333038095320e+01
    5.0936550342224824e-04   -3.1913245124257113e+01
    2.3892917944033710e-04   -3.1710157210418906e+01
    1.2340298278786427e-04   -3.1507069296580703e+01
    9.7147029003212291e-05   -3.1303981382742496e+01
    1.7066369960024082e-04   -3.1100893468904289e+01
    2.3367798868340254e-04   -3.0897805555066086e+01
    4.0434168828364743e-04   -3.0694717641227879e+01
    2.8618989625270650e-04   -3.0491629727389675e+01
    1.8116608111410176e-04   -3.0288541813551468e+01
    1.4703334119405104e-04   -3.0085453899713265e+01
    1.2340298278786427e-04   -2.9882365985875058e+01
    1.1027500589554021e-04   -2.9679278072036851e+01
    9.7147029003212291e-05   -2.9476190158198648e+01
    9.1895838246283516e-05   -2.9273102244360441e+01
    9.7147029003212291e-05   -2.9070014330522238e+01
    8.1393456732422538e-05   -2.8866926416684031e+01
    1.5753572270791184e-04   -2.8663838502845827e+01
    4.4372561896061829e-04   -2.8460750589007620e+01
    3.3082501768662059e-04   -2.8257662675169414e+01
    2.7043632398192005e-04   -2.8054574761331210e+01
    2.7831311011731092e-04   -2.7851486847493007e+01
    2.5730834708958931e-04   -2.7648398933654800e+01
    4.4372561896062604e-04   -2.7445311019816593e+01
    8.1918575808115574e-04   -2.7242223105978390e+01
    5.2774467107149538e-04   -2.7039135192140186e+01
    3.2557382692969015e-04   -2.6836047278301976e+01
    4.5160240509602178e-04   -2.6632959364463773e+01
    5.1199109880071343e-04   -2.6429871450625569e+01
    8.1130897194574584e-04   -2.6226783536787362e+01
    7.4829468286259431e-04   -2.6023695622949155e+01
    1.3127976892326216e-03   -2.5820607709110952e+01
    1.1473851803892911e-03   -2.5617519795272749e+01
    1.3364280476387852e-03   -2.5414431881434542e+01
    1.2812905446910386e-03   -2.5211343967596335e+01
    1.2629113770417598e-03   -2.5008256053758132e+01
    1.6409971115407482e-03   -2.4805168139919925e+01
    1.2287786371217339e-03   -2.4602080226081718e+01
    1.2340298278786643e-03   -2.4398992312243514e+01
    1.7118881867593085e-03   -2.4195904398405311e+01
    1.1500107757677564e-03   -2.3992816484567104e+01
    1.3679351921803914e-03   -2.3789728570728897e+01
    2.2343816670739218e-03   -2.3586640656890694e+01
    1.9508173661996072e-03   -2.3383552743052491e+01
    2.5310739448404940e-03   -2.3180464829214280e+01
    2.0007036783905151e-03   -2.2977376915376077e+01
    2.5967138293020798e-03   -2.2774289001537873e+01
    2.0085804645258759e-03   -2.2571201087699666e+01
    2.4864388234065852e-03   -2.2368113173861460e+01
    3.4106483966263508e-03   -2.2165025260023256e+01
    2.0295852275535975e-03   -2.1961937346185053e+01
